Millis,Front,Left,Right,EncL,EncR,dEncL,dEncR,dMillis,vL,vR,vL_smooth,vR_smooth
3511,411,2997,2667,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3572,392,3006,2685,0,0,0.0,0.0,61.0,0.0,0.0,0.0,0.0
3631,391,2996,2670,0,0,0.0,0.0,59.0,0.0,0.0,0.0,0.0
3689,385,2992,2647,0,0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
3747,391,3002,2666,0,0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
3805,411,2995,2659,0,0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
3863,387,3000,2673,0,0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
3921,425,3014,2682,0,0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
3998,415,2995,2688,0,0,0.0,0.0,77.0,0.0,0.0,0.0,0.0
4057,386,2994,2666,0,0,0.0,0.0,59.0,0.0,0.0,0.0,0.0
4115,417,3004,2661,0,0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
4173,411,2984,2682,0,0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
4231,384,3017,2672,0,0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
4289,389,2985,2669,0,0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
4347,389,2998,2666,0,0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
4405,418,3003,2663,0,0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
4463,401,3001,2681,0,0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
4522,420,3005,2705,0,0,0.0,0.0,59.0,0.0,0.0,0.0,0.0
4580,387,3000,2671,0,0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
4638,415,2997,2672,0,0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
4696,391,3003,2670,0,0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
4755,417,2987,2668,0,0,0.0,0.0,59.0,0.0,0.0,0.0,0.0
4814,389,2993,2677,0,0,0.0,0.0,59.0,0.0,0.0,3.4482758620689653,0.0
4873,398,2977,2675,0,0,0.0,0.0,59.0,0.0,0.0,10.227936879018118,3.3898305084745766
4931,419,2999,2656,1,0,1.0,0.0,58.0,17.241379310344826,0.0,17.12448860315605,17.18293395675044
4990,389,3003,2673,3,1,2.0,1.0,59.0,33.898305084745765,16.949152542372882,57.80245470485097,54.47106954997078
