ms,cells,f,l,r,pwmL,pwmR,event
4,0,884,2588,526,0,0,START
1043,0,2443,2547,748,99,82,WALL_STOP
1147,1,2443,2547,748,0,0,CELL
1259,1,2804,2545,798,0,0,TURN_R
4117,2,393,2818,2488,0,0,CELL
5154,3,745,1253,2735,0,0,CELL
5266,3,797,1029,2723,0,0,TURN_L
7967,3,1913,745,1285,115,126,DRIVE
9267,3,1916,747,1290,115,126,DRIVE
9630,3,1900,2042,1305,125,113,TIMEOUT
9733,4,1900,2042,1305,0,0,CELL
9845,4,1904,1372,1304,0,0,TURN_L
11782,4,1045,1449,1806,0,0,TURN_L
13767,4,354,3866,2080,150,71,DRIVE
14613,5,532,2303,3020,0,0,CELL
15067,5,171,2553,3059,94,150,DRIVE
15711,6,283,2862,2675,0,0,CELL
16367,6,350,2881,2670,150,93,DRIVE
16830,7,464,2700,2881,0,0,CELL
17667,7,755,1026,2713,128,136,DRIVE
17898,8,858,992,2637,0,0,CELL
18010,8,957,1005,2572,0,0,TURN_L
20867,8,1034,682,1426,124,127,DRIVE
22167,8,946,697,1426,125,127,DRIVE
22389,8,906,692,1417,126,127,TIMEOUT
22493,9,906,692,1417,0,0,CELL
22604,9,770,1424,1778,0,0,TURN_L
24573,10,951,2685,1617,0,0,CELL
24967,10,998,2719,686,138,130,DRIVE
25471,10,2403,2673,745,104,87,WALL_STOP
25575,11,2403,2673,745,0,0,CELL
25687,11,2761,2666,802,0,0,TURN_R
28505,12,391,2690,2650,0,0,CELL
29553,13,733,1317,2657,0,0,CELL
29666,13,788,1025,2687,0,0,TURN_L
32367,13,1901,815,1303,115,126,DRIVE
33375,13,2407,818,1368,74,90,WALL_STOP
33479,14,2407,818,1368,0,0,CELL
33591,14,1346,1086,1632,0,0,TURN_L
36237,15,247,2797,2762,0,0,CELL
37355,16,296,2682,2961,0,0,CELL
38464,17,465,2908,2594,0,0,CELL
38767,17,562,2747,2850,91,150,DRIVE
39523,18,955,1055,2654,0,0,CELL
39634,18,1073,1034,2580,0,0,TURN_L
42567,18,559,950,1484,127,129,DRIVE
43767,18,563,969,1496,126,129,DRIVE
44019,18,563,969,1499,126,129,TIMEOUT
44123,19,563,969,1499,0,0,CELL
44235,19,565,970,1487,0,0,TURN_L
49467,19,686,2129,1988,134,96,DRIVE
50232,20,1196,707,2500,0,0,CELL
50344,20,1362,863,2581,0,0,TURN_L
52667,20,311,3046,2320,150,89,DRIVE
53271,21,371,2221,3036,0,0,CELL
53867,21,508,2545,2969,91,150,DRIVE
54441,22,684,2859,391,0,0,CELL
55167,22,1231,2687,616,138,129,DRIVE
55509,23,1935,2701,693,0,0,CELL
55621,23,2365,2694,734,0,0,TURN_R
57967,23,338,2498,3145,93,150,DRIVE
58511,24,460,3045,2372,0,0,CELL
59167,24,294,2650,2994,94,150,DRIVE
59620,25,430,2803,2762,0,0,CELL
60367,25,414,2646,3085,94,150,DRIVE
60759,26,483,2772,2967,0,0,CELL
61667,26,783,2699,1038,136,128,DRIVE
61899,27,872,2684,755,0,0,CELL
62645,27,2441,2500,704,100,82,WALL_STOP
62750,28,2441,2500,704,0,0,CELL
62863,28,2821,2462,714,0,0,TURN_R
65737,29,517,2956,2648,0,0,CELL
66846,30,668,2822,569,0,0,CELL
67864,31,2009,2681,710,0,0,CELL
67977,31,2439,2690,771,0,0,TURN_R
70267,31,298,2729,2645,131,133,DRIVE
70811,32,389,2704,2700,0,0,CELL
71467,32,574,2816,2734,150,91,DRIVE
71860,33,723,1131,2369,0,0,CELL
71972,33,756,1121,1692,0,0,TURN_L
74467,33,1979,984,1354,113,126,DRIVE
75667,33,1972,970,1369,112,127,DRIVE
75767,33,1969,973,1357,113,126,DRIVE
76019,33,2559,1692,1383,109,102,WALL_STOP
76124,34,2559,1692,1383,0,0,CELL
76237,34,1627,1928,1218,0,0,TURN_R
78139,34,1667,2614,915,0,0,TURN_R
