time_ms,front,left,right,enc_l,enc_r,pwm_l,pwm_r,state
11,759,2599,1089,0,0,180,139,1
68,787,2592,1138,30,10,180,138,1
119,818,2552,1426,61,19,179,131,1
174,836,2486,1654,121,52,171,116,1
224,882,2407,1709,191,97,161,106,1
279,933,2356,1682,276,153,159,105,1
367,1029,2204,1454,418,251,160,96,1
427,1103,2111,1334,517,315,167,90,1
482,1140,2031,1256,608,370,168,89,1
532,1187,1961,1190,694,418,168,87,1
587,1242,1798,1210,790,472,165,86,1
647,1335,1669,1258,894,529,155,88,1
702,1352,1756,1308,985,583,150,92,1
752,1427,1965,1329,1064,632,151,73,1
805,1477,1847,1377,1148,677,151,67,1
864,1495,1911,1455,1237,719,147,59,1
917,1526,2177,1478,1316,754,149,56,1
976,1471,2337,1496,1402,790,155,67,1
1029,1427,2497,1588,1482,828,155,74,1
1087,1372,2794,1608,1572,872,158,85,1
1141,1356,2949,1655,1655,916,158,85,1
1199,1306,3095,1704,1748,968,155,83,1
1252,1236,3314,1729,1832,1014,155,80,1
1311,1137,3404,1771,1923,1064,154,75,1
1364,957,3464,1801,2007,1106,154,74,1
1423,761,3548,1842,2097,1151,153,69,1
1476,636,3564,1864,2178,1189,152,66,1
1535,464,3554,1944,2266,1229,150,66,1
1588,368,3554,2007,2344,1264,149,67,1
1647,389,3480,2033,2426,1301,148,73,1
1701,392,3442,2146,2498,1334,148,79,1
1760,415,3359,2172,2578,1375,149,96,1
1813,418,3291,2221,2652,1417,149,103,1
1872,465,3189,2284,2736,1470,151,125,1
1925,471,3154,2329,2816,1529,152,132,1
1984,488,3136,2380,2906,1604,153,143,1
2037,520,3027,2396,2988,1681,154,149,1
2096,534,3005,2392,3085,1776,155,154,1
2150,565,2935,2471,3176,1867,156,157,1
2209,581,2940,2484,3277,1970,157,159,1
2262,664,2911,2539,3370,2063,157,159,1
2322,682,3130,2583,3473,2166,158,157,1
2375,711,1000,2597,3568,2261,128,139,1
3276,838,2317,1503,4190,3511,105,174,1
3330,904,1989,1719,4282,3626,108,140,1
3417,959,1875,2079,4418,3781,118,122,1
3476,1028,1825,2220,4496,3867,105,134,1
3530,1081,1751,2497,4558,3942,100,141,1
3589,1111,1721,2646,4620,4029,93,148,1
3643,1104,1737,2752,4675,4110,93,149,1
3702,1104,1720,3058,4737,4204,110,156,1
3756,1112,1729,3237,4796,4294,115,160,1
3815,1106,1724,3374,4865,4395,89,162,1
3869,1102,1753,3705,4920,4490,65,159,1
3929,1008,1753,3818,4966,4594,0,180,1
3983,733,1824,3875,4978,4694,0,180,1
4042,588,2013,3891,4979,4806,0,180,1
4096,619,2151,3802,4979,4911,50,180,1
4155,159,2288,3436,4987,5025,50,180,1
4209,288,2488,3192,5010,5127,104,154,1
