time_ms,front,left,right,enc_l,enc_r,pwm_l,pwm_r,action
0,1971,1233,2777,0,0,0,0,0
20,1971,1233,2777,0,0,0,0,0
40,1971,1229,2777,0,0,0,0,0
60,1970,1237,2768,0,0,0,0,0
80,1978,1237,2761,0,0,0,0,0
100,1970,1236,2761,0,0,0,0,0
120,1970,1235,2768,0,0,0,0,0
152,1971,1236,2769,0,0,0,0,0
172,1971,1235,2769,0,0,0,0,0
192,1970,1235,2771,0,0,0,0,0
212,1971,1235,2771,0,0,0,0,0
232,1970,1224,2760,0,0,0,0,0
252,1969,1210,2758,0,0,0,0,0
272,1969,1210,2760,0,0,0,0,0
292,1968,1210,2760,0,0,0,0,0
312,1968,1801,2760,0,0,0,0,0
353,1968,1806,2758,0,0,0,0,0
373,1968,3899,2757,0,0,0,0,0
393,1968,3900,2757,0,0,0,0,0
413,1968,3902,2754,0,0,0,0,0
433,1970,3903,2757,0,0,0,0,0
453,1970,3905,2759,0,0,0,0,0
473,1966,3903,2764,0,0,0,0,0
493,1966,3905,2759,0,0,0,0,0
513,1970,3905,2764,0,0,0,0,0
554,1968,3905,2770,0,0,0,0,0
574,1966,3906,2770,0,0,0,0,0
594,1965,3906,2770,0,0,0,0,0
614,1964,3906,2770,0,0,0,0,0
634,1948,3906,2764,0,0,0,0,0
654,1923,3905,2763,0,0,0,0,0
674,1919,3905,2759,0,0,0,0,0
694,1919,3904,2716,0,0,0,0,0
714,1898,3904,2715,0,0,0,0,0
755,1898,3904,2714,-2,0,0,0,0
775,1873,3904,2712,-2,0,0,0,0
795,1857,3904,2712,-3,0,0,0,0
815,1832,3904,2629,-1,0,0,0,0
835,1831,3904,2612,-2,0,0,0,0
855,1825,3904,2558,-1,0,0,0,0
875,1821,3904,2556,-2,0,0,0,0
895,1808,3902,2480,-3,0,0,0,0
915,1803,3904,2461,-2,0,0,0,0
956,1785,3905,2381,-5,0,0,0,0
976,1720,3904,2375,-4,0,0,0,0
996,1663,3905,2306,-3,0,0,0,0
1016,1641,3905,2225,-3,0,0,0,0
1036,1526,3905,2219,-3,0,0,0,0
1056,1506,3904,2106,-1,0,0,0,0
1076,1492,3745,2090,0,0,0,0,0
1096,1446,3703,2035,0,0,0,0,0
1116,1404,3703,2028,0,0,0,0,0
1157,1401,3703,2028,0,0,0,0,0
1177,1380,3717,2028,0,0,0,0,0
1197,1377,3804,2017,0,0,0,0,0
1217,1377,3820,2022,-1,0,0,0,0
1237,1380,3882,2022,0,0,0,0,0
1257,1401,3887,2007,0,0,0,0,0
1277,1410,3904,2007,0,0,0,0,0
1297,1424,3904,2007,0,0,0,0,0
1317,1425,3904,2007,0,0,0,0,0
1358,1425,3898,2014,0,0,0,0,0
1378,1426,3235,2014,0,0,0,0,0
1398,1426,1605,2009,0,0,0,0,0
1418,1426,1595,2009,0,0,0,0,0
1438,1402,1595,2008,-1,0,0,0,0
1458,1401,1605,2008,0,0,0,0,0
1478,1399,3600,2009,0,0,0,0,0
1498,1381,3607,2009,-1,0,0,0,0
1518,1379,3607,2009,-1,0,0,0,0
1559,1364,3607,2009,-1,0,0,0,0
1579,1352,3607,2010,0,0,0,0,0
1599,1333,3891,2010,0,0,0,0,0
1619,1329,3897,2010,-1,0,0,0,0
1639,1328,3898,2027,-1,0,0,0,0
1659,1309,3902,2030,-2,0,0,0,0
1679,1268,3902,2034,-2,0,0,0,0
1699,1257,3905,2046,-2,0,0,0,0
1719,1256,3905,2046,-2,0,0,0,0
1760,1161,3905,2030,-6,0,0,0,0
1780,1128,3905,1873,-3,0,0,0,0
1800,1055,3906,1559,-4,0,0,0,0
1820,921,3906,1559,-3,0,0,0,0
1840,366,3906,1559,-3,0,0,0,0
1860,27,3905,1747,-3,0,0,0,0
1880,27,3905,1748,-3,0,0,0,0
1900,27,3902,2007,-1,0,0,0,0
1920,132,3894,2010,-1,0,0,0,0
1961,389,3694,2076,-3,0,0,0,0
1981,586,3694,2077,-2,0,0,0,0
2001,883,3694,2116,0,0,0,0,0
2021,1097,3723,2127,0,0,0,0,0
2041,1137,3733,2133,-1,0,0,0,0
2061,1137,3849,2133,0,0,0,0,0
2081,1137,3856,2133,0,0,0,0,0
2101,1110,3861,2147,0,0,0,0,0
2121,1104,3904,2147,0,0,0,0,0
2162,1083,3904,2148,0,0,0,0,0
2182,1079,3904,2148,0,0,0,0,0
2202,1079,3904,2148,0,0,0,0,0
2222,1074,3904,2131,0,0,0,0,0
2242,1030,3904,2131,0,0,0,0,0
2262,956,3904,2130,0,0,0,0,0
2282,956,3904,2130,0,0,0,0,0
2302,956,3905,2130,0,0,0,0,0
2322,1021,3903,2128,0,0,0,0,0
2363,1022,3903,2128,-5,0,0,0,0
2383,1022,3904,2126,-3,0,0,0,0
2403,1022,3904,2128,-2,0,0,0,0
2423,1009,3904,2137,-2,0,0,0,0
2443,711,3904,2147,-2,0,0,0,0
2463,711,3907,2160,-1,0,0,0,0
2483,694,3904,2166,-2,0,0,0,0
2503,689,3904,2172,-4,0,0,0,0
2523,689,3904,2185,-3,0,0,0,0
2564,692,3904,2185,-5,0,0,0,0
2584,692,3904,2185,-2,0,0,0,0
2604,736,3904,2185,-1,0,0,0,0
2624,736,3904,2173,-1,0,0,0,0
2644,736,3904,2164,0,0,0,0,0
2664,710,3904,2164,0,0,0,0,0
2684,709,3904,2148,-1,0,0,0,0
2704,709,3904,2147,0,0,0,0,0
2724,710,3904,2140,0,0,0,0,0
2765,710,3904,2126,0,0,0,0,0
2785,710,3904,2118,0,0,0,0,0
2805,710,3904,2117,0,0,0,0,0
2825,710,3904,2107,0,0,0,0,0
2845,710,3904,2107,0,0,0,0,0
2865,713,3904,2104,0,0,0,0,0
2885,713,3904,2106,0,0,0,0,0
2905,713,2175,2104,0,0,0,0,0
2925,712,2171,2106,0,0,0,0,0
2966,712,1362,2105,0,0,0,0,0
2986,712,1362,2105,0,0,0,0,0
3006,712,1360,2097,0,0,0,0,0
3026,712,1360,2101,0,0,0,0,0
3046,710,1360,2101,0,0,0,0,0
3066,729,1360,2101,0,0,0,0,0
3086,717,1365,2101,0,0,0,0,0
3106,710,1366,2101,0,0,0,0,0
3126,710,1366,2101,0,0,0,0,0
3167,710,1366,2125,0,0,0,0,0
3187,710,1363,2100,0,0,0,0,0
3207,710,1363,2100,0,0,0,0,0
3227,710,1362,2101,0,0,0,0,0
3247,708,1360,2110,0,0,0,0,0
3267,710,1361,2101,0,0,0,0,0
3287,709,1361,2101,0,0,0,0,0
3307,708,1361,2101,0,0,0,0,0
3327,709,1361,2102,0,0,0,0,0
3368,710,1361,2102,0,0,0,0,0
3388,716,1361,2108,0,0,0,0,0
3408,716,1363,2124,0,0,0,0,0
3428,716,1363,2128,0,0,0,0,0
3448,709,1363,2128,0,0,0,0,0
3468,708,1363,2128,0,0,0,0,0
3488,707,1380,2124,0,0,0,0,0
3508,708,1394,2127,0,0,0,0,0
3528,708,1408,2127,-1,0,0,0,0
3569,709,1408,2129,-6,0,0,0,0
3589,722,1468,2137,-5,0,0,0,0
3609,744,1502,2146,-6,0,0,0,0
3629,762,1518,2159,-8,0,0,0,0
3649,789,1733,2180,-9,0,0,0,0
3669,816,1734,2197,-9,0,0,0,0
3689,831,2011,2235,-10,0,0,0,0
3709,836,2014,2248,-10,0,0,0,0
3729,838,2227,2264,-9,0,0,0,0
3770,859,2229,2278,-18,0,0,0,0
3790,879,2230,2298,-9,0,0,0,0
3810,931,2823,2345,-10,0,0,0,0
3830,951,2841,2359,-9,0,0,0,0
3850,990,2844,2413,-9,0,0,0,0
3870,1054,2844,2432,-10,0,0,0,0
3890,1098,2841,2445,-10,0,0,0,0
3910,1130,1577,2445,-9,0,0,0,0
3930,1186,1576,2487,-8,0,0,0,0
3971,1256,1418,2487,-17,0,0,0,0
3991,1336,1418,2487,-8,0,0,0,0
4011,1461,1418,2483,-8,0,0,0,0
4031,1532,1509,2472,-9,0,0,0,0
4051,1558,1515,2296,-8,0,0,0,0
4071,1645,1568,2296,-8,0,0,0,0
4091,1691,1594,729,-8,0,0,0,0
4111,1878,1623,724,-7,0,0,0,0
4131,1946,1623,187,-7,0,0,0,0
4172,2038,1674,187,-10,0,0,0,0
4192,2109,1675,187,-3,0,0,0,0
4212,2365,1754,253,-3,0,0,0,0
4232,2429,1821,473,-1,0,0,0,0
4252,2480,1829,476,0,0,0,0,0
4272,2547,1869,504,-1,0,0,0,0
4292,2594,1874,504,0,0,0,0,0
4312,2595,1883,511,0,0,0,0,0
4332,2595,1887,523,0,0,0,0,0
4373,2595,1890,527,0,0,0,0,0
4393,2594,1892,528,0,0,0,0,0
4413,2593,1892,528,0,0,0,0,0
4433,2592,1892,580,0,0,0,0,0
4453,2582,1916,585,0,0,0,0,0
4473,2582,1916,585,0,0,0,0,0
4493,2592,1916,580,0,0,0,0,0
4513,2593,1921,580,0,0,0,0,0
4533,2593,1921,585,0,0,0,0,0
4574,2593,1916,590,0,0,0,0,0
