ms,f,l,r,dF,dL,dR,err,corr,pwmL,pwmR,encL,encR,event
18,0,0,0,0,0,0,0,0,0,0,0,0,START
171,414,2633,2736,414,2633,2736,-103,-8,122,138,0,0,RUN
272,414,2636,2706,-3,1,-7,-70,-1,169,170,64,72,RUN
372,464,2634,2672,-2,0,4,-38,-1,169,170,204,211,RUN
472,493,2624,2699,6,0,5,-75,-2,168,170,369,376,RUN
605,538,2639,2741,0,0,5,-102,-2,168,170,606,614,RUN
737,645,2707,2759,9,0,-13,-52,0,170,170,850,862,RUN
745,655,2906,2745,10,199,-14,161,15,170,170,865,878,CRASH_L
869,765,1062,2722,0,-3,-11,-1660,-41,89,170,1040,1089,RUN
878,785,887,2708,20,-175,-14,0,0,89,170,1049,1103,LEFT_OPEN
1136,0,0,0,0,0,0,0,0,0,0,0,0,TURN_L_OPEN
2300,0,0,0,0,0,0,0,0,0,0,0,0,TURN_STUCK
2353,954,773,2455,954,773,2455,0,0,0,0,-388,457,LEFT_OPEN
2695,0,0,0,0,0,0,0,0,0,0,0,0,TURN_L_OPEN
3196,0,0,0,0,0,0,0,0,0,0,0,0,TURN_STUCK
3250,521,3106,1757,521,3106,1757,1349,60,0,0,-27,14,CRASH_L
3250,521,3106,1757,521,3106,1757,1349,60,160,55,-27,14,RUN
3350,560,2521,1862,42,-3,0,659,16,146,114,50,29,RUN
3450,459,2251,1867,41,0,25,384,8,138,122,124,60,RUN
3551,319,2166,1838,-7,-5,0,328,8,138,122,181,109,RUN
3683,214,2155,1862,-6,3,-3,293,7,137,123,257,182,RUN
3815,243,2249,1867,0,3,3,382,9,139,121,343,251,RUN
3948,314,2408,1866,21,0,0,542,13,143,117,416,322,RUN
4080,360,2658,1840,0,-1,-1,818,20,150,110,515,365,RUN
4213,366,2446,1867,22,-4,24,579,13,143,117,578,404,RUN
4340,346,2317,1896,-1,0,0,421,10,140,120,642,451,RUN
4405,189,3893,1990,-6,1430,74,1903,60,143,117,696,468,CRASH_L
4413,146,3895,1991,-43,2,1,1904,47,160,55,701,471,CRASH_L
4421,146,3895,1991,0,0,0,1904,47,160,55,704,473,CRASH_L
4429,195,3896,1979,49,1,-12,1917,48,160,55,707,475,CRASH_L
