ms,f,l,r,dF,dL,dR,err,corr,pwmL,pwmR,encL,encR,event
22,0,0,0,0,0,0,0,0,0,0,0,0,START
178,499,2565,2808,499,2565,2808,-243,-19,111,149,0,6,RUN
278,513,2579,2786,0,12,4,-207,-4,166,170,55,81,RUN
379,538,2596,2733,4,-6,-8,-137,-3,167,170,185,227,RUN
479,574,2660,2658,11,45,-11,2,2,170,168,355,410,RUN
611,684,2862,2575,4,0,0,287,7,170,163,603,667,RUN
700,787,768,2533,3,-242,-5,0,0,93,167,757,840,LEFT_OPEN
922,0,0,0,0,0,0,0,0,0,0,0,0,TURN_L_OPEN
1479,976,642,2350,976,642,2350,0,0,0,0,-460,486,LEFT_OPEN
1813,0,0,0,0,0,0,0,0,0,0,0,0,TURN_L_OPEN
3550,0,0,0,0,0,0,0,0,0,0,0,0,TURN_STUCK
3603,196,2746,1819,196,2746,1819,927,60,170,70,-441,459,RUN
3639,292,3897,1941,96,1151,122,1956,60,170,70,-415,459,CRASH_L
3647,296,3897,1942,4,0,1,1955,48,160,55,-410,459,CRASH_L
3658,317,3897,1941,21,0,-1,1956,48,160,55,-403,459,CRASH_L
3666,317,3896,1930,0,-1,-11,1966,49,160,55,-398,459,CRASH_L
3674,294,3896,1930,-23,0,0,1966,49,160,55,-393,459,CRASH_L
3682,294,3896,1942,0,0,12,1954,48,160,55,-387,459,CRASH_L
3690,318,3896,1962,24,0,20,1934,47,160,55,-382,459,CRASH_L
3698,318,3896,1962,0,0,0,1934,48,160,55,-376,459,CRASH_L
3706,244,3228,1966,-74,-668,4,1262,11,165,110,-369,459,RUN
3791,270,3895,2008,3,856,0,1887,60,170,145,-275,503,CRASH_L
3799,344,3896,2008,74,1,0,1888,47,160,55,-264,509,CRASH_L
3807,346,3897,2020,2,1,12,1877,46,160,55,-253,513,CRASH_L
3809,346,3897,2020,2,1,12,1877,46,160,55,-249,515,RUN
3817,413,3899,2052,67,2,32,1847,44,160,55,-237,519,CRASH_L
3825,414,3899,2052,1,0,0,1847,46,160,55,-226,524,CRASH_L
3834,535,3896,2052,121,-3,0,1844,46,160,55,-214,529,CRASH_L
3842,536,3896,2053,1,0,1,1843,46,160,55,-202,533,CRASH_L
3850,584,3897,2063,48,1,10,1834,45,160,55,-189,539,CRASH_L
3858,587,3898,2069,3,1,6,1829,45,160,55,-177,544,CRASH_L
3893,584,3898,2082,-3,0,13,1816,45,160,55,-123,566,CRASH_L
3902,563,3880,2116,-21,-18,34,1764,41,160,55,-110,571,CRASH_L
3910,465,3878,2126,-98,-2,10,1752,43,160,55,-97,576,CRASH_L
3912,465,3878,2126,-98,-2,10,1752,43,160,55,-93,577,RUN
3920,465,3721,2119,0,-157,-7,1602,35,160,55,-81,582,CRASH_L
3929,511,3718,2126,46,-3,7,1592,39,160,55,-69,587,CRASH_L
3937,511,3714,2148,0,-4,22,1566,38,160,55,-56,592,CRASH_L
3945,438,3714,2148,-73,0,0,1566,39,160,55,-43,596,CRASH_L
3953,437,3714,2147,-1,0,-1,1567,39,160,55,-31,601,CRASH_L
3961,405,3487,2142,-32,-227,-5,1345,26,160,55,-18,606,CRASH_L
3969,394,3482,2142,-11,-5,0,1340,33,160,55,-6,610,CRASH_L
3977,367,3482,2192,-27,0,50,1290,29,160,55,7,615,CRASH_L
3985,367,3482,2192,0,0,0,1290,32,160,55,20,619,CRASH_L
4023,368,3475,2192,1,-7,0,1283,31,160,55,81,641,CRASH_L
4024,368,3475,2192,1,-7,0,1283,31,160,55,81,641,RUN
4156,566,2595,2326,7,-149,0,269,2,170,168,301,795,RUN
4288,715,2220,2583,8,-11,6,-363,-9,161,170,532,1026,RUN
4353,790,2053,3002,0,0,153,-949,-31,150,170,651,1151,CRASH_R
4421,835,1984,3013,14,-9,8,-1029,-26,104,165,761,1285,RUN
4429,835,1970,3178,0,-14,165,-1208,-39,104,165,773,1301,CRASH_R
4437,834,1965,3321,-1,-5,143,-1356,-41,55,160,783,1317,CRASH_R
4485,782,1937,3455,-5,0,130,-1518,-44,96,165,841,1412,CRASH_R
4494,733,1939,3455,-49,2,0,-1516,-37,55,160,850,1427,CRASH_R
4504,733,1939,3455,0,0,0,-1516,-37,55,160,862,1449,CRASH_R
4512,732,1939,3455,-1,0,0,-1516,-37,55,160,871,1464,CRASH_R
4548,709,1938,3641,-23,-1,186,-1703,-52,55,160,901,1532,CRASH_R
4548,709,1938,3641,-23,-1,186,-1703,-52,55,160,901,1532,RUN
4556,661,1937,3651,-48,-1,10,-1714,-43,55,160,908,1547,CRASH_R
4564,660,1934,3699,-1,-3,48,-1765,-46,55,160,914,1563,CRASH_R
4572,641,1934,3699,-19,0,0,-1765,-44,55,160,920,1577,CRASH_R
4580,637,1943,3699,-4,9,0,-1756,-43,55,160,925,1593,CRASH_R
4588,612,2007,3699,-25,64,0,-1692,-38,55,160,931,1607,CRASH_R
4597,603,2007,3700,-9,0,1,-1693,-42,55,160,937,1622,CRASH_R
4607,586,2006,3742,-17,-1,42,-1736,-45,55,160,945,1641,CRASH_R
4615,571,2006,3745,-15,0,3,-1739,-43,55,160,950,1655,CRASH_R
4623,571,2063,3745,0,57,0,-1682,-38,55,160,955,1669,CRASH_R
4632,615,2063,3751,44,0,6,-1688,-42,55,160,961,1683,CRASH_R
4640,622,2063,3751,7,0,0,-1688,-42,55,160,965,1697,CRASH_R
4675,659,2067,3726,37,4,-25,-1659,-40,55,160,987,1758,CRASH_R
4675,659,2067,3726,37,4,-25,-1659,-40,55,160,987,1758,RUN
4683,707,2104,3720,48,37,-6,-1616,-38,55,160,992,1772,CRASH_R
4691,707,2104,3689,0,0,-31,-1585,-38,55,160,997,1786,CRASH_R
4700,692,2104,3681,-15,0,-8,-1577,-39,55,160,1002,1799,CRASH_R
4718,683,2174,3681,-9,70,0,-1507,-33,55,160,1013,1831,CRASH_R
4726,681,2184,3681,-2,10,0,-1497,-37,55,160,1018,1844,CRASH_R
