ms,x,y,heading,flood,f,l,r,err,corr,pwmL,pwmR,encL,encR,event
22,0,0,1,255,0,0,0,0,0,0,0,0,0,START
176,0,0,1,30,611,2418,2194,224,12,142,118,0,0,MOVE
278,0,0,1,30,633,2429,1749,680,16,146,114,57,48,MOVE
379,0,0,1,30,692,2404,1504,900,22,152,108,174,140,MOVE
481,0,0,1,30,744,2348,1653,695,15,145,115,319,251,MOVE
582,0,0,1,30,834,2269,1697,572,14,144,116,465,372,MOVE
703,0,1,1,29,0,0,0,0,0,0,0,0,0,CELL_DONE
708,0,1,1,29,0,0,0,0,0,0,0,0,0,MOVE
839,0,1,1,29,981,2108,1702,406,7,137,123,0,0,MOVE
941,0,1,1,29,1005,2111,1697,414,9,139,121,62,55,MOVE
1042,0,1,1,29,1101,2054,1649,405,10,140,120,175,153,MOVE
1143,0,1,1,29,1235,1978,1630,348,8,138,122,314,272,MOVE
1245,0,1,1,29,1447,1911,1558,353,8,138,122,462,401,MOVE
1373,0,2,1,28,0,0,0,0,0,0,0,0,0,CELL_DONE
1377,0,2,1,28,0,0,0,0,0,0,0,0,0,MOVE
1509,0,2,1,28,1944,1798,1212,586,20,105,65,0,0,MOVE
1610,0,2,1,28,2015,1775,1228,547,13,98,72,38,30,MOVE
1712,0,2,1,28,2152,1692,1231,461,11,96,74,94,75,MOVE
1813,0,2,1,28,2365,1479,1283,196,4,89,81,159,128,MOVE
1869,0,2,1,28,2541,1547,1302,0,0,91,79,194,159,WALL_STOP
1899,0,3,1,27,0,0,0,0,0,0,0,0,0,CELL_DONE
1901,0,3,1,27,0,0,0,0,0,0,0,0,0,MOVE
2033,0,3,1,27,0,0,0,0,0,0,0,0,0,TURN_R_START
2627,0,3,2,27,0,0,0,0,0,0,0,0,0,TURN_R_DONE
2631,0,3,2,27,2541,1866,1303,0,0,0,0,0,0,WALL_STOP
2661,1,3,2,26,0,0,0,0,0,0,0,0,0,CELL_DONE
2665,1,3,2,26,0,0,0,0,0,0,0,0,0,MOVE
2796,1,3,2,26,348,2703,2508,195,3,133,127,0,0,MOVE
2898,1,3,2,26,317,2704,2511,193,5,135,125,60,56,MOVE
2999,1,3,2,26,323,2730,2479,251,6,136,124,166,158,MOVE
3101,1,3,2,26,346,2764,2468,296,7,137,123,295,280,MOVE
3201,1,3,2,26,319,2796,2458,338,8,138,122,433,406,MOVE
3302,1,3,2,26,347,2810,2463,347,8,138,122,574,529,MOVE
3353,2,3,2,25,0,0,0,0,0,0,0,0,0,CELL_DONE
3356,2,3,2,25,0,0,0,0,0,0,0,0,0,MOVE
3488,2,3,2,25,343,2822,2475,347,8,138,122,0,0,MOVE
3590,2,3,2,25,343,2792,2487,305,7,137,123,61,54,MOVE
3691,2,3,2,25,395,2824,2510,314,7,137,123,169,148,MOVE
3793,2,3,2,25,419,2795,2481,314,7,137,123,295,259,MOVE
3894,2,3,2,25,447,2794,2490,304,7,137,123,426,381,MOVE
3995,2,3,2,25,471,2799,2513,286,6,136,124,557,506,MOVE
4061,3,3,2,24,0,0,0,0,0,0,0,0,0,CELL_DONE
4063,3,3,2,24,0,0,0,0,0,0,0,0,0,MOVE
4195,3,3,2,24,515,2820,2564,256,7,137,123,0,0,MOVE
4297,3,3,2,24,525,2806,2554,252,6,136,124,58,52,MOVE
4397,3,3,2,24,530,2793,2584,209,5,135,125,165,151,MOVE
