Millis,Front,Left,Right,EncL,EncR
260410,735,2595,500,0,0
260465,760,2592,502,0,0
260520,732,2595,529,0,0
260576,764,2603,526,0,0
260631,771,2600,529,0,0
260687,734,2585,503,0,0
260742,757,2585,531,0,0
260797,735,2588,504,0,0
260853,764,2590,501,0,0
260908,734,2592,503,0,0
260964,733,2594,528,0,0
261019,733,2593,508,0,0
261074,741,2595,495,0,0
261130,734,2617,536,0,0
261185,750,2612,547,0,0
261240,728,2583,505,0,0
261296,774,2597,537,0,0
261351,741,2597,508,0,0
261407,765,2614,529,0,0
261462,761,2591,529,0,0
261517,742,2609,518,0,0
261573,733,2616,525,0,0
261628,761,2594,526,0,0
261684,758,2601,531,0,0
261739,743,2604,544,0,0
261794,732,2583,496,0,0
261850,735,2621,532,0,0
261905,763,2589,503,0,0
261961,731,2589,529,0,0
262016,732,2597,504,-1,-2
262071,730,2616,526,-6,-12
262127,686,2639,700,-6,-14
262182,703,2643,727,-5,-12
262237,743,2672,645,11,17
262293,777,2677,538,80,82
262348,860,2646,533,224,221
262404,979,2608,651,401,405
262459,1145,2639,618,586,593
262515,1424,2690,655,751,764
262570,1688,2705,674,875,890
262625,2064,2730,702,969,987
262681,2197,2733,779,997,1015
262736,2227,2709,793,992,1015
262792,2204,2735,804,989,1015
262847,2201,2736,801,989,1015
262902,2238,2708,794,989,1015
262958,2223,2726,793,989,1015
263013,2222,2734,801,989,1015
263069,2202,2730,796,989,1015
263124,2227,2729,812,989,1015
263179,2201,2712,799,989,1015
263235,2191,2728,818,989,1015
263290,2207,2715,806,989,1015
263346,2225,2729,801,989,1015
263401,2214,2724,795,989,1015
263456,2198,2724,818,989,1015
263512,2243,2704,778,999,1013
263567,2309,2689,747,1019,1006
263623,2295,2661,744,1051,992
263678,2392,2573,728,1087,966
263733,2386,2411,552,1130,919
263789,2243,2214,1233,1174,854
263844,1952,1792,1064,1205,784
263900,1735,2240,1235,1211,732
263955,1667,2173,1279,1211,726
264010,1683,2175,1312,1211,726
264066,1691,2202,1304,1211,726
264121,1687,2176,1282,1211,726
264177,1669,2203,1310,1225,726
264232,1672,2188,1348,1252,728
264287,1582,2229,1378,1279,722
264343,1424,2281,1549,1317,693
264398,1190,2405,1677,1357,652
264454,1042,2486,1787,1381,608
264509,860,2455,2080,1381,559
264564,785,2485,2215,1381,514
264620,731,2429,2331,1381,499
264675,764,2430,2382,1381,500
264731,710,2443,2382,1381,500
264786,744,2424,2377,1381,500
264842,784,2422,2381,1381,500
